"Campaign name",Day,"Ad Set Name","Attribution setting","Result type",Results,Reach,Impressions,"Amount spent (USD)","Link clicks",Frequency,"Reporting starts","Reporting ends"
"C | Medwriter - 2025 July 25 - Set 14",2025-08-06,,"7-day click or 1-day view",,,515,610,29.69,7,1.18446602,2025-08-06,2025-08-06
"C | Medwriter - 2025 July 25 - Stork",2025-08-06,,"7-day click or 1-day view",,,703,791,28.82,4,1.12517781,2025-08-06,2025-08-06
"RC | Medwriter - June 25",2025-08-06,,"7-day click or 1-day view",,,196,204,24.31,2,1.04081633,2025-08-06,2025-08-06
"T | Medwriter - 2025 May 25",2025-08-06,,"7-day click or 1-day view","Link clicks",5,428,434,2.28,5,1.01401869,2025-08-06,2025-08-06
"C | Medwriter - 2024 April",2025-08-06,,"7-day click or 1-day view",,,563,676,50.34,9,1.20071048,2025-08-06,2025-08-06
"C | Medwriter - 2025 July 25 - Set 14",2025-08-05,,"7-day click or 1-day view",presignup_demo_booked,1,660,755,34.43,6,1.14393939,2025-08-05,2025-08-05
"C | Medwriter - 2025 July 25 - Stork",2025-08-05,,"7-day click or 1-day view",presignup_demo_booked,1,672,746,32.11,14,1.11011905,2025-08-05,2025-08-05
"RC | Medwriter - June 25",2025-08-05,,"7-day click or 1-day view",,,221,239,32.41,2,1.08144796,2025-08-05,2025-08-05
"T | Medwriter - 2025 May 25",2025-08-05,,"7-day click or 1-day view","Link clicks",17,2567,2567,4.68,17,1,2025-08-05,2025-08-05
"A | Medwriter - 2025 May 25",2025-08-05,,"7-day click or 1-day view",Reach,2376,2376,2450,2.73,,1.03114478,2025-08-05,2025-08-05
"C | Medwriter - 2024 April",2025-08-05,,"7-day click or 1-day view",,,746,904,51.29,11,1.21179625,2025-08-05,2025-08-05
"T | Medwriter - 2025 May 25",2025-08-04,,"7-day click or 1-day view","Link clicks",9,656,670,3.1,9,1.02134146,2025-08-04,2025-08-04
"C | Medwriter - 2024 April",2025-08-04,,"7-day click or 1-day view",,,731,901,53.35,9,1.23255814,2025-08-04,2025-08-04
"A | Medwriter - 2025 May 25",2025-08-04,,"7-day click or 1-day view",Reach,2389,2389,2469,2.92,,1.03348681,2025-08-04,2025-08-04
"RC | Medwriter - June 25",2025-08-04,,"7-day click or 1-day view",,,218,241,31.98,3,1.10550459,2025-08-04,2025-08-04
"C | Medwriter - 2025 July 25 - Stork",2025-08-04,,"7-day click or 1-day view",,,559,617,34.47,4,1.10375671,2025-08-04,2025-08-04
"C | Medwriter - 2025 July 25 - Set 14",2025-08-04,,"7-day click or 1-day view",,,700,842,33.54,5,1.20285714,2025-08-04,2025-08-04
"C | Medwriter - 2024 April",2025-08-03,,"7-day click or 1-day view",,,620,766,63.08,9,1.23548387,2025-08-03,2025-08-03
"C | Medwriter - 2025 July 25 - Set 14",2025-08-03,,"7-day click or 1-day view",presignup_demo_booked,1,823,968,34.62,9,1.17618469,2025-08-03,2025-08-03
"C | Medwriter - 2025 July 25 - Stork",2025-08-03,,"7-day click or 1-day view",,,589,677,35.2,8,1.14940577,2025-08-03,2025-08-03
"RC | Medwriter - June 25",2025-08-03,,"7-day click or 1-day view",,,208,227,32.62,2,1.09134615,2025-08-03,2025-08-03
"T | Medwriter - 2025 May 25",2025-08-03,,"7-day click or 1-day view","Link clicks",7,605,624,3.06,7,1.03140496,2025-08-03,2025-08-03
"A | Medwriter - 2025 May 25",2025-08-03,,"7-day click or 1-day view",Reach,2190,2190,2260,3.01,,1.03196347,2025-08-03,2025-08-03
"T | Medwriter - 2025 May 25",2025-08-02,,"7-day click or 1-day view","Link clicks",5,425,436,1.87,5,1.02588235,2025-08-02,2025-08-02
"C | Medwriter - 2024 April",2025-08-02,,"7-day click or 1-day view",,,636,755,44.01,8,1.18710692,2025-08-02,2025-08-02
"A | Medwriter - 2025 May 25",2025-08-02,,"7-day click or 1-day view",Reach,2196,2196,2258,4.5,,1.02823315,2025-08-02,2025-08-02
"RC | Medwriter - June 25",2025-08-02,,"7-day click or 1-day view",,,108,119,16.94,,1.10185185,2025-08-02,2025-08-02
"C | Medwriter - 2025 July 25 - Set 14",2025-08-02,,"7-day click or 1-day view",presignup_demo_booked,1,526,615,25.53,5,1.16920152,2025-08-02,2025-08-02
"C | Medwriter - 2025 July 25 - Stork",2025-08-02,,"7-day click or 1-day view",,,584,688,26.99,3,1.17808219,2025-08-02,2025-08-02
"C | Medwriter - 2025 July 25 - Set 14",2025-08-01,,"7-day click or 1-day view",presignup_demo_booked,1,654,752,26.53,6,1.14984709,2025-08-01,2025-08-01
"C | Medwriter - 2025 July 25 - Stork",2025-08-01,,"7-day click or 1-day view",presignup_demo_booked,1,576,620,26.7,4,1.07638889,2025-08-01,2025-08-01
"RC | Medwriter - June 25",2025-08-01,,"7-day click or 1-day view",,,160,172,28.06,,1.075,2025-08-01,2025-08-01
"T | Medwriter - 2025 May 25",2025-08-01,,"7-day click or 1-day view","Link clicks",2,220,220,1.06,2,1,2025-08-01,2025-08-01
"A | Medwriter - 2025 May 25",2025-08-01,,"7-day click or 1-day view",Reach,8499,8499,8688,2.35,,1.02223791,2025-08-01,2025-08-01
"C | Medwriter - 2024 April",2025-08-01,,"7-day click or 1-day view",,,478,595,44.82,12,1.24476987,2025-08-01,2025-08-01
"C | Medwriter - 2025 July 25 - Stork",2025-07-31,,"7-day click or 1-day view",,,675,715,29.72,3,1.05925926,2025-07-31,2025-07-31
"C | Medwriter - 2025 July 25 - Set 14",2025-07-31,,"7-day click or 1-day view",,,770,885,28.68,7,1.14935065,2025-07-31,2025-07-31
"RC | Medwriter - June 25",2025-07-31,,"7-day click or 1-day view",,,132,147,22.36,,1.11363636,2025-07-31,2025-07-31
"T | Medwriter - 2025 May 25",2025-07-31,,"7-day click or 1-day view","Link clicks",2,446,446,1.1,2,1,2025-07-31,2025-07-31
"A | Medwriter - 2025 May 25",2025-07-31,,"7-day click or 1-day view",Reach,2181,2181,2185,0.31,,1.00183402,2025-07-31,2025-07-31
"C | Medwriter - 2024 April",2025-07-31,,"7-day click or 1-day view",,,651,755,45.44,10,1.15975422,2025-07-31,2025-07-31
"RC | Medwriter - June 25",2025-07-30,,"7-day click or 1-day view",,,134,147,25.9,1,1.09701493,2025-07-30,2025-07-30
"T | Medwriter - 2025 May 25",2025-07-30,,"7-day click or 1-day view","Link clicks",32,2444,2532,5.25,32,1.03600655,2025-07-30,2025-07-30
